position,term,type
1,내가,pronoun
2,그,pronoun
3,난,pronoun
4,내,pronoun
5,안,adverb
6,수,noun
7,이,particle
8,네,particle
9,거야,particle
10,좀,adverb
11,그래,adjective
12,있어,verb
13,왜,adverb
14,더,adverb
15,그리고,particle
16,우리,pronoun
17,다,particle
18,무슨,adjective
19,한,noun
20,하지만,adverb
21,잘,adverb
22,어떻게,adverb
23,할,verb
24,그냥,adverb
25,정말,adverb
26,그럼,adverb
27,것,noun
28,게,particle
29,있어요,verb
30,있는,verb
31,해,noun
32,여기,adverb
33,넌,pronoun
34,제가,pronoun
35,날,noun
36,우리가,pronoun
37,건,noun
38,전,noun
39,이제,adverb
40,지금,adverb
41,그게,pronoun
42,걸,noun
43,거,noun
44,아니,adverb
45,네가,pronoun
46,없어,verb
47,돼,verb
48,저,pronoun
49,우린,pronoun
50,제,pronoun
51,못,adverb
52,좋아,adjective
53,당신이,pronoun
54,다른,adjective
55,나,pronoun
56,그런,adjective
57,그건,pronoun
58,너무,adverb
59,그래서,adverb
60,그렇게,adverb
61,다시,adverb
62,이건,pronoun
63,이런,adjective
64,나도,particle
65,모든,adjective
66,당신,pronoun
67,거예요,particle
68,당신은,pronoun
69,아,particle
70,좋은,adjective
71,오,noun
72,때,noun
73,너,pronoun
74,하는,verb
75,하고,particle
76,아냐,verb
77,나는,pronoun
78,아니야,verb
79,알아,verb
80,같이,adverb
81,응,particle
82,이게,pronoun
83,없어요,verb
84,괜찮아,adjective
85,오늘,noun
86,말이야,particle
87,줄,noun
88,또,adverb
89,널,pronoun
90,누가,pronoun
91,어떤,adjective
92,아주,adverb
93,말,noun
94,아직,adverb
95,안돼,verb
96,진짜,adverb
97,모두,pronoun
98,마,particle
99,같은,adjective
100,여기서,adverb
